name,year,revenue,employee,sector,job_title,location,salary_est
Norstella,NaN,NaN,NaN,NaN,Data Scientist - RWD,Remote,$150K - $175K (Employer est.)
Bloom Insurance,2006,$25 to $100 million (USD),201 to 500 Employees,Insurance,Data Engineer I,Remote,NaN
Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science","San Francisco, CA",$113K - $169K (Glassdoor est.)
GFiber,1998,$10+ billion (USD),10000+ Employees,Information Technology,"Network Data Analytics Engineer, CPE","Mountain View, CA",$137K - $188K (Glassdoor est.)
Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer,"Chicago, IL",$84K - $113K (Glassdoor est.)
GroupM Nexus,2003,Unknown / Non-Applicable,10000+ Employees,Media & Communication,"Analyst, Data Science","New York, NY",$82K - $120K (Glassdoor est.)
Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer,"Austin, TX",$76K - $111K (Glassdoor est.)
The College Board,1900,$500 million to $1 billion (USD),1001 to 5000 Employees,Education,Senior Data Scientist,Remote,NaN
BlueOcean,1994,$25 to $100 million (USD),501 to 1000 Employees,Media & Communication,Data Engineer,New Jersey,$135K - $155K (Employer est.)
Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science,"New York, NY",$90K - $165K (Employer est.)
Dropbox,2007,Unknown / Non-Applicable,1001 to 5000 Employees,Information Technology,"Senior Data Scientist, New Initiatives",Remote,NaN
Amadeus,1987,$1 to $5 billion (USD),10000+ Employees,Information Technology,Data Science Trainee,United States,NaN
"The Travelers Companies, Inc.",1853,$10+ billion (USD),10000+ Employees,Insurance,Data Scientist,"Hartford, CT",$122K - $201K (Employer est.)
Liberty Mutual Insurance,1912,$10+ billion (USD),10000+ Employees,Insurance,Data Engineer,Remote,$91K - $130K (Employer est.)
NORC at the University of Chicago,1941,$100 to $500 million (USD),1001 to 5000 Employees,Management & Consulting,Data Scientist - Healthcare Claims Analytics,Oregon,NaN
Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,Senior Data Engineer,"New York, NY",$40K - $160K (Employer est.)
HP,1939,Unknown / Non-Applicable,10000+ Employees,Information Technology,Data Science Engineer,"Spring, TX",NaN
Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer,"Chicago, IL",$84K - $113K (Glassdoor est.)
Storylines,2016,Unknown / Non-Applicable,1 to 50 Employees,Hotels & Travel Accommodation,Python Machine Learning Developer,Remote,NaN
Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer,"Dallas, TX",$83K - $117K (Glassdoor est.)
"Health Services Advisory Group, Inc.",1979,$25 to $100 million (USD),201 to 500 Employees,Healthcare,Analyst I,Remote,$70K - $75K (Employer est.)
Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Strategy and Analytics, Telemedicine","San Francisco, CA",NaN
Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,"Sr. Data Analyst, Data Science & Insights","New York, NY",$40K - $160K (Employer est.)
Stanford Health Care,1957,$1 to $5 billion (USD),10000+ Employees,Healthcare,Sr. Data Engineer - AI/ML,"Palo Alto, CA",$72.49 - $96.06 Per Hour(Employer est.)
"The Travelers Companies, Inc.",1853,$10+ billion (USD),10000+ Employees,Insurance,"Data Engineer 1 (AWS, SQL, Python)","Hartford, CT",$103K - $169K (Employer est.)
CooperSurgical,1990,Unknown / Non-Applicable,Unknown,Manufacturing,Data Science,California,$116K - $193K (Employer est.)
Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer,"New York, NY",$121K - $170K (Glassdoor est.)
Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer,"Austin, TX",$76K - $111K (Glassdoor est.)
Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant,"San Francisco, CA",$97K - $155K (Glassdoor est.)
LTK,NaN,NaN,NaN,NaN,Data Engineer,Remote,$250K (Employer est.)
Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,Senior Data Engineer,"New York, NY",$40K - $160K (Employer est.)
Playrix,2004,Unknown / Non-Applicable,501 to 1000 Employees,Media & Communication,Head Of Data Science,Remote,NaN
Colgate-Palmolive,1806,$10+ billion (USD),10000+ Employees,Manufacturing,"Director, Global Data Platforms","Piscataway, NJ",$158K - $233K (Employer est.)
Pipe Technologies,NaN,Unknown / Non-Applicable,1 to 50 Employees,NaN,Data Engineer,"Miami, FL",NaN
Snowflake,2012,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,"Manager, Data Science - Streamlit","San Mateo, CA",$180K - $276K (Employer est.)
PayPal,1998,$10+ billion (USD),10000+ Employees,Information Technology,"Data Science Mng, Marketing Analytics",California,$85K - $205K (Employer est.)
Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science","San Francisco, CA",$113K - $169K (Glassdoor est.)
Zoox,2014,Less than $1 million (USD),501 to 1000 Employees,Information Technology,Data Engineer,"Foster City, CA",$143K - $200K (Employer est.)
LeewayHertz,NaN,Unknown / Non-Applicable,51 to 200 Employees,Information Technology,Software Developer (AI/ML),"San Francisco, CA",$75K - $120K (Glassdoor est.)
T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics","Owings Mills, MD",$72K - $122K (Employer est.)
"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,"San Francisco, CA",$99K (Employer est.)
Volkswagen Group of America,1955,$5 to $25 million (USD),1001 to 5000 Employees,Manufacturing,Data Engineer,Remote,$78K - $113K (Employer est.)
Unum,1848,$10+ billion (USD),5001 to 10000 Employees,Insurance,Marketing Analytics - Data Scientist,"Portland, ME",$89K - $127K (Glassdoor est.)
Ameren,1904,$5 to $10 billion (USD),5001 to 10000 Employees,"Energy, Mining & Utilities",Senior Business Intelligence Engineer,Remote,NaN
GroupM Nexus,2003,Unknown / Non-Applicable,10000+ Employees,Media & Communication,"Analyst, Data Science","New York, NY",$82K - $120K (Glassdoor est.)
Black Knight,2013,Less than $1 million (USD),5001 to 10000 Employees,Information Technology,Data Scientist III Supervisor,"Philadelphia, PA",$80K - $112K (Glassdoor est.)
PepsiCo,1965,$10+ billion (USD),10000+ Employees,Manufacturing,Data Engineer,"Plano, TX",$81K - $117K (Glassdoor est.)
Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer,"Chicago, IL",$84K - $113K (Glassdoor est.)
Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer,"Dallas, TX",$83K - $117K (Glassdoor est.)
Zoox,2014,Less than $1 million (USD),501 to 1000 Employees,Information Technology,Data Engineer,"Foster City, CA",$143K - $200K (Employer est.)
Stanford Health Care,1957,$1 to $5 billion (USD),10000+ Employees,Healthcare,Sr. Data Engineer - AI/ML,"Palo Alto, CA",$72.49 - $96.06 Per Hour(Employer est.)
Storylines,2016,Unknown / Non-Applicable,1 to 50 Employees,Hotels & Travel Accommodation,Python Machine Learning Developer,Remote,NaN
Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Strategy and Analytics, Telemedicine","San Francisco, CA",NaN
Playrix,2004,Unknown / Non-Applicable,501 to 1000 Employees,Media & Communication,Head Of Data Science,Remote,NaN
